sid	sentence	disrel	relphrase	arg1	arg2	annotationOpt
579	The length of daylight in New York State changes from summer to fall by decreasing.	effect		The length of daylight	changes from summer to fall by decreasing	
580	When a baby shakes a rattle, it makes a noise. Mechanical energy was changed to sound energy.	enable		a baby shakes a rattle	Mechanical energy was changed to sound energy	
581	A fox grows thicker fur as a season changes. This adaptation helps the fox to keep warmer.	enable		A fox grows thicker fur	keep warmer	
582	Sight can be used to determine an objects ability to reflect light.	effect		Sight	determine an objects ability to reflect light	
583	When plants and animals die, decomposers help return nutrients to the food chain.	part		decomposers	return nutrients	
584	A student crumples up a sheet of paper. Shape has changed.	enable		crumples up a sheet of paper	Shape has changed	
585	Gravity causes a marble to sink to the bottom of a glass of water.	effect		Gravity	a marble to sink to the bottom of a glass of water	
586	A car skids along the road and smoke appears to be coming from under the tires. The heat that produces the smoke is caused by friction.	effect		heat that produces the smoke	friction	
587	A student is growing some plants for an experiment. She notices small white spots on the leaves. She should use a hand lens to get a better look at the spots.	requirement		a hand lens	get a better look at the spots	
588	A student reaches one hand into a bag filled with smooth objects. The student feels the objects but does not look into the bag. The student can most likely identify shape.	part		A student reaches one hand into a bag filled with smooth objects	The student can most likely identify shape	
589	During winter, the white fur of an arctic fox blends in with the snow. This adaptation is called camouflage.	requirement		adaptation	camouflag	
590	An example of a poor health habit is eating candy instead of lunch.	effect		eating candy instead of lunch	a poor health habit	
591	A squirrel storing nuts is preparing for a seasonal change in the environment.	cause		storing nuts	preparing for a seasonal change	
592	Winter season is a season of the year during which a rabbits fur would be thickest.	effect		Winter season	a rabbits fur would be thickest	
593	A duck's feathers are covered with a natural oil that keeps the duck dry. This is a special feature ducks have that helps them adapt to their environment.	part		special feature	adapt to their environment	
594	A marble is dropped in a glass of water. Gravity pulls the marble to the bottom of the glass.	condition		Gravity	pulls the marble to the bottom	
595	The functions of a plant's roots are to support the plant and take in water and nutrients.	requirement		roots	support the plant and take in water and nutrients	
596	A human offspring can inherit blue eyes.	example		A human offspring	blue eyes	
597	Heat is needed to change water from a liquid to a gas.	enable		Heat	change water from a liquid to a gas	
598	A mother hen clucks loudly when danger is near and her chicks quickly gather around her. Sound helps the chicks receive this warning about danger from their mother.	part		Sound	receive this warning about danger	
599	A claws for obtaining food is correctly paired with its function.	requirement		claws	obtaining food	
600	A car skids along the road and smoke appears to be coming from under the tires. The heat that produces the smoke is caused by friction.	condition		heat that produces the smoke	friction	
601	Since green plants make their own food, they are called producers.	part		green plants make their own food	producers	
602	Growth causes the leaves of a plant to become larger.	example		Growth	leaves of a plant to become larger	
603	Touch is used to determine an object's texture.	enable		Touch	determine an object's texture	
604	A student should use a graduated cylinder to measure exactly 10 milliliters (mL) of water.	requirement		a graduated cylinder	measure the volume of a liquid	
605	A student riding a bicycle observes that it moves faster on a smooth road than on a rough road. This happens because the smooth road has less friction.	requirement		This	smooth road has less friction	
606	Coloration often helps an animal attract a mate.	cause		Coloration	attract a mate	
607	Cutting down a rain forest is most harmful to the natural environment.	requirement		Cutting down a rain forest	natural environment	
608	During an experiment, a student reports that a liquid turned green when mixed with another liquid. This is an example of an observation.	cause		This	observation	
609	An example of a poor health habit is eating candy instead of lunch.	condition		eating candy instead of lunch	a poor health habit	
610	It rained on a hot summer afternoon and a puddle formed. After several hours, the puddle was gone. Precipitation followed by evaporation made the puddle form and then disappear.	cause		Precipitation followed by evaporation 	form and then disappear	
611	Chemical energy is found in food.	example		Chemical energy	found in food	
612	A stove is used to boil water in a pan is an example in which a thermometer could be used to show that heat energy is being transferred.	example		A stove is used to boil water in a pan	a thermometer could be used to show that heat energy is being transferred	
613	A stove is used to boil water in a pan is an example in which a thermometer could be used to show that heat energy is being transferred.	purpose		A stove is used to boil water in a pan	a thermometer could be used to show that heat energy is being transferred	
614	All animals do need water, air, and food in order to survive.	requirement		water, air and food	survive	
615	Frogs lay eggs that develop into tadpoles and then into adult frogs. This sequence of changes is an example of how living things go through a life cycle.	requirement		sequence of changes	how living things go through a life cycle	
616	The main function of scales on a fish is to protect the fish.	purpose		scales of a fish	protect the fish	
617	A decrease in air temperature from 60°F to 35°F would most likely cause a person to shiver.	cause		A decrease in air temperature	a person to shiver	
618	Rotation of Earth causes day and night.	effect		Rotation of Earth	day and night	
619	Green plants get the energy they need to make food from sunlight.	condition		sunlight	make food	
620	Sense of smell helps a fox find food.	condition		Sense of smell	find food	
621	A simple machine that helps move a flag up a flagpole is a pulley.	requirement		pulley	move a flag up a flagpole	
622	A girl signals her friend by shining a flashlight on a mirror. Her friend can see the signal because light energy can be reflected from one object to another.	cause		light energy can be reflected from one object to another	see the signal	
623	Windy, cloudy, rainy, and cold are words that help describe weather.	requirement		Windy, cloudy, rainy, and cold	describe weather	
624	When a person speaks into a telephone, sound energy is changed mostly into electrical energy.	part		speaks into a telephone	sound energy is changed into electricity energy	
625	Humans depend on water from the environment.	effect		water	humans	
626	A student should use a balance to compare the masses of two small rocks.	example		balance	compare the masses of two small rocks	
627	A pumpkin is a fruit.	effect		pumpkin	a fruit	
628	A student measured the volume of water in a pan. The student boiled the water for thirty minutes and then measured the volume of the water again. The volume of water most likely decreased.	cause		The student boiled the water	decreased	
629	When plants and animals die, decomposers help return nutrients to the food chain.	example		decomposers	return nutrients	
630	A puppy can inherit spotted fur from its parents.	part		puppy	spotted fur from its parents	
631	A human offspring can inherit blue eyes.	enable		A human offspring	blue eyes	
632	If an object is attracted to a magnet, the object is most likely made of metal.	condition		an object is attracted to a magnet	the object is most likely made of metal	
633	It takes one week for Earth to rotate on its axis seven times.	effect		Earth to rotate	one week	
634	Growth causes the leaves of a plant to become larger.	requirement		Growth	leaves of a plant to become larger	
635	A pumpkin is a fruit.	purpose		pumpkin	a fruit	
636	Polluting most often has a harmful effect on the environment.	cause		Polluting	environment	
637	A marble is dropped in a glass of water. Gravity pulls the marble to the bottom of the glass.	effect		Gravity	pulls the marble to the bottom	
638	Centimeters can be used to describe the length of a desk.	part		Centimeters	describe the length of a desk	
639	Green plants get the energy they need to make food from sunlight.	requirement		sunlight	make food	
640	Mechanical energy is being used when a person pushes a wooden block across the floor.	cause		Mechanical energy	pushes a wooden block across the floor	
641	A student puts two identical plants in the same type and amount of soil. She gives them the same amount of water. She puts one of these plants near a sunny window and the other in a dark room. This experiment tests how the plants respond to light.	requirement		experiment tests	how the plants respond to light	
642	A student should use a graduated cylinder to measure exactly 10 milliliters (mL) of water.	cause		a graduated cylinder	measure the volume of a liquid	
643	When a baby shakes a rattle, it makes a noise. Mechanical energy was changed to sound energy.	condition		a baby shakes a rattle	Mechanical energy was changed to sound energy	
644	A turtle eating worms is an example of taking in nutrients.	effect		A turtle eating worms	taking in nutrients	
645	Exercising daily is one way that humans can maintain good health.	example		Exercising daily	humans can maintain good health	
646	Cutting down a rain forest is most harmful to the natural environment.	enable		Cutting down a rain forest	natural environment	
647	A puppy can inherit spotted fur from its parents.	cause		puppy	spotted fur from its parents	
648	A student puts two identical plants in the same type and amount of soil. She gives them the same amount of water. She puts one of these plants near a sunny window and the other in a dark room. This experiment tests how the plants respond to light.	purpose		experiment tests	how the plants respond to light	
649	Rotation of Earth causes day and night.	requirement		Rotation of Earth	day and night	
650	Coloration often helps an animal attract a mate.	condition		Coloration	attract a mate	
651	Sense of smell helps a fox find food.	effect		Sense of smell	find food	
652	Grow and reproduce are carried out by all species of living things.	enable		Grow and reproduce	carried by all species of living things	
653	In New York State, the shortest period of daylight occurs during December.	cause		the shortest period of daylight	during December	
654	A simple machine that helps move a flag up a flagpole is a pulley.	condition		pulley	move a flag up a flagpole	
655	All animals do need water, air, and food in order to survive.	enable		water, air and food	survive	
656	A student should use a balance to compare the masses of two small rocks.	effect		balance	compare the masses of two small rocks	
657	Windy, cloudy, rainy, and cold are words that help describe weather.	cause		Windy, cloudy, rainy, and cold	describe weather	
658	A decomposer is an organism that breaks down dead plants and animals.	purpose		decomposer	breaks down dead plants and animals	
659	Heat is needed to change water from a liquid to a gas.	purpose		Heat	change water from a liquid to a gas	
660	A student reaches one hand into a bag filled with smooth objects. The student feels the objects but does not look into the bag. The student can most likely identify shape.	purpose		A student reaches one hand into a bag filled with smooth objects	The student can most likely identify shape	
661	A human offspring can inherit blue eyes.	effect		A human offspring	blue eyes	
662	Flower of a plant produces the seeds.	condition		Flower of a plant	seeds	
663	A marble is dropped in a glass of water. Gravity pulls the marble to the bottom of the glass.	part		Gravity	pulls the marble to the bottom	
664	Fourth graders are planning a roller-skate race. Blacktop would be the best for this race.	requirement		Blacktop	this race	
665	Decrease the temperature is one way to change water from a liquid to a solid.	purpose		Decrease the temperature	change water from a liquid to a solid	
666	A decomposer is an organism that breaks down dead plants and animals.	example		decomposer	breaks down dead plants and animals	
667	Heat energy causes an ice cube to melt.	purpose		Heat energy	an ice cube to melt	
668	Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. If the day were cool instead of hot, the rainwater in the pan would have disappeared slower.	example		day were cool	disappeared slower	
669	Water is usually found in nature as a liquid, solid, and gas.	part		Water	liquid, solid, and gas	
670	Grow and reproduce are carried out by all species of living things.	effect		Grow and reproduce	carried by all species of living things	
671	Sense of smell helps a fox find food.	purpose		Sense of smell	find food	
672	Mechanical energy is being used when a person pushes a wooden block across the floor.	enable		Mechanical energy	pushes a wooden block across the floor	
673	Cutting down a rain forest is most harmful to the natural environment.	purpose		Cutting down a rain forest	natural environment	
674	Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. If the day were cool instead of hot, the rainwater in the pan would have disappeared slower.	condition		day were cool	disappeared slower	
675	Green plants get the energy they need to make food from sunlight.	cause		sunlight	make food	
676	The movement of soil by wind or water is called erosion.	enable		movement of soil by wind or water	erosion	
677	A student reaches one hand into a bag filled with smooth objects. The student feels the objects but does not look into the bag. The student can most likely identify shape.	requirement		A student reaches one hand into a bag filled with smooth objects	The student can most likely identify shape	
678	A girl eating an apple describes an organism taking in nutrients.	condition		A girl eating an apple	an organism taking in nutrients	
679	Rotation of Earth causes day and night.	condition		Rotation of Earth	day and night	
680	Humans depend on water from the environment.	condition		water	humans	
681	A dog opens its mouth and lets its tongue hang out. A human's body produces sweat. These are two ways that organisms may adjust to hot temperatures.	requirement		opens its mouth and lets its tongue hang out	adjust to hot temperatures	
682	Temperatures below freezing are expected overnight. Covering them might be done to protect plants growing outside.	condition		Covering them	protect plants growing outside	
683	A puddle drying in the sun is the best example of evaporation.	condition		puddle drying in the sun	evaporation	
684	Sleet and hail are forms of precipitation.	part		Sleet and hail	precipitation	
685	A student crumples up a sheet of paper. Shape has changed.	cause		crumples up a sheet of paper	Shape has changed	
686	Animals get energy for growth and repair from food.	effect		get energy	growth and repair from food	
687	A fox grows thicker fur as a season changes. This adaptation helps the fox to keep warmer.	part		A fox grows thicker fur	keep warmer	
688	A dog opens its mouth and lets its tongue hang out. A human's body produces sweat. These are two ways that organisms may adjust to hot temperatures.	example		opens its mouth and lets its tongue hang out	adjust to hot temperatures	
689	A fox grows thicker fur as a season changes. This adaptation helps the fox to keep warmer.	purpose		A fox grows thicker fur	keep warmer	
690	One way animals usually respond to a sudden drop in temperature is by shivering.	effect		shivering	respond to a sudden drop in temperature	
691	When an ice cube melts, its state of matter changes from a solid to a liquid.	cause		an ice cube melts	state of matter changes from a solid to a liquid	
692	A graduated cylinder would be best to measure the volume of a liquid.	cause		A graduated cylinder	measure the volume of a liquid	
693	Resting is necessary for humans to maintain good health.	requirement		resting	maintain good health	
694	A decrease in air temperature from 60°F to 35°F would most likely cause a person to shiver.	example		A decrease in air temperature	a person to shiver	
695	Fourth graders are planning a roller-skate race. Blacktop would be the best for this race.	cause		Blacktop	this race	
696	Flower of a plant produces the seeds.	purpose		Flower of a plant	seeds	
697	Sunlight is the main source of energy for the water cycle.	condition		Sunlight	the water cycle	
698	Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. Evaporation caused the rainwater in the pan to disappear as it sat outside in the hot air.	requirement		Evaporation	disappear	
699	The movement of soil by wind or water is called erosion.	example		movement of soil by wind or water	erosion	
700	Green plants get the energy they need to make food from sunlight.	effect		sunlight	make food	
701	A fox grows thicker fur as a season changes. This adaptation helps the fox to keep warmer.	requirement		A fox grows thicker fur	keep warmer	
702	Humans depend on water from the environment.	cause		water	humans	
703	Grow and reproduce are carried out by all species of living things.	purpose		Grow and reproduce	carried by all species of living things	
704	A thick fur would best help a bear to survive a winter in New York State.	effect		thick fur	survive in winter	
705	In New York State, the longest period of daylight occurs during June.	effect		the longest period of daylight	during June	
706	All animals do need water, air, and food in order to survive.	purpose		water, air and food	survive	
707	Touch is used to determine an object's texture.	condition		Touch	determine an object's texture	
708	It takes one week for Earth to rotate on its axis seven times.	enable		Earth to rotate	one week	
709	Decrease the temperature is one way to change water from a liquid to a solid.	example		Decrease the temperature	change water from a liquid to a solid	
710	A snowy field is an environment in which a white rabbit would be best protected from predators.	cause		snowy field	be best protected from predators	
711	Touch is used to determine an object's texture.	part		Touch	determine an object's texture	
712	During winter, the white fur of an arctic fox blends in with the snow. This adaptation is called camouflage.	purpose		adaptation	camouflag	
713	In New York State, the longest period of daylight occurs during June.	part		the longest period of daylight	during June	
714	Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. If the day were cool instead of hot, the rainwater in the pan would have disappeared slower.	cause		day were cool	disappeared slower	
715	A stove is used to boil water in a pan is an example in which a thermometer could be used to show that heat energy is being transferred.	part		A stove is used to boil water in a pan	a thermometer could be used to show that heat energy is being transferred	
716	A marble is dropped in a glass of water. Gravity pulls the marble to the bottom of the glass.	cause		Gravity	pulls the marble to the bottom	
717	Having blue eyes is inherited rather than learned.	part		Having blue eyes	inherited	
718	Growing thicker fur in the winter helps some animals to keep warm.	requirement		Growing thicker fur	keep warm	
719	A student should use a balance to compare the masses of two small rocks.	part		balance	compare the masses of two small rocks	
720	Frogs lay eggs that develop into tadpoles and then into adult frogs. This sequence of changes is an example of how living things go through a life cycle.	cause		sequence of changes	how living things go through a life cycle	
721	Chemical energy is found in food.	part		Chemical energy	found in food	
722	A car skids along the road and smoke appears to be coming from under the tires. The heat that produces the smoke is caused by friction.	requirement		heat that produces the smoke	friction	
723	Some butterflies live an average of two weeks. This period of time is called a life span.	requirement		live a average of two weeks	life span	
724	A bird migrating south is an example of an animal adapting to a change in the environment.	requirement		A bird migrating south	adapting to a change in the environment	
725	Exercising every day is an example of a good health habit.	purpose		Exercising every day	good health habit	
726	Mechanical energy is being used when a person pushes a wooden block across the floor.	part		Mechanical energy	pushes a wooden block across the floor	
727	A student crumples up a sheet of paper. Shape has changed.	example		crumples up a sheet of paper	Shape has changed	
728	Animals get energy for growth and repair from food.	purpose		get energy	growth and repair from food	
729	A simple machine that helps move a flag up a flagpole is a pulley.	example		pulley	move a flag up a flagpole	
730	A student riding a bicycle observes that it moves faster on a smooth road than on a rough road. This happens because the smooth road has less friction.	purpose		This	smooth road has less friction	
731	A decrease in air temperature from 60°F to 35°F would most likely cause a person to shiver.	requirement		A decrease in air temperature	a person to shiver	
732	Windy, cloudy, rainy, and cold are words that help describe weather.	enable		Windy, cloudy, rainy, and cold	describe weather	
733	An example of a learned trait is being able to read.	effect		a learned trait	being able to read	
734	A student crumples up a sheet of paper. Shape has changed.	purpose		crumples up a sheet of paper	Shape has changed	
735	Exercising daily is one way that humans can maintain good health.	part		Exercising daily	humans can maintain good health	
736	Resting is necessary for humans to maintain good health.	condition		resting	maintain good health	
737	Apple trees can live for many years, but bean plants usually live for only a few months. This statement suggests that different plants have different life spans.	condition		statement	different plants have different life spans	
738	A squirrel storing nuts is preparing for a seasonal change in the environment.	enable		storing nuts	preparing for a seasonal change	
739	A fox grows thicker fur as a season changes. This adaptation helps the fox to keep warmer.	example		A fox grows thicker fur	keep warmer	
740	The main function of scales on a fish is to protect the fish.	part		scales of a fish	protect the fish	
741	Chemical energy is found in food.	cause		Chemical energy	found in food	
742	A squirrel storing nuts is preparing for a seasonal change in the environment.	part		storing nuts	preparing for a seasonal change	
743	Exercising daily is one way that humans can maintain good health.	purpose		Exercising daily	humans can maintain good health	
744	Coloration often helps an animal attract a mate.	part		Coloration	attract a mate	
745	A student riding a bicycle observes that it moves faster on a smooth road than on a rough road. This happens because the smooth road has less friction.	condition		This	smooth road has less friction	
746	A claws for obtaining food is correctly paired with its function.	example		claws	obtaining food	
747	Temperature and sky conditions are both used to describe weather.	condition		Temperature and sky conditions	describe	
748	A bird migrating south is an example of an animal adapting to a change in the environment.	effect		A bird migrating south	adapting to a change in the environment	
749	Water is usually found in nature as a liquid, solid, and gas.	example		Water	liquid, solid, and gas	
750	A student is growing some plants for an experiment. She notices small white spots on the leaves. She should use a hand lens to get a better look at the spots.	condition		a hand lens	get a better look at the spots	
751	A puppy can inherit spotted fur from its parents.	example		puppy	spotted fur from its parents	
752	Frogs lay eggs that develop into tadpoles and then into adult frogs. This sequence of changes is an example of how living things go through a life cycle.	condition		sequence of changes	how living things go through a life cycle	
753	A person does use mechanical energy to pedal a bicycle.	part		mechanical energy	pedal a bicycle	
754	A girl eating an apple describes an organism taking in nutrients.	enable		A girl eating an apple	an organism taking in nutrients	
755	An example of a learned trait is being able to read.	requirement		a learned trait	being able to read	
756	Some birds fly south before winter each year. This is an example of migration.	requirement		Some birds fly south before winter	migration	
757	Heat energy causes an ice cube to melt.	cause		Heat energy	an ice cube to melt	
758	One way animals usually respond to a sudden drop in temperature is by shivering.	requirement		shivering	respond to a sudden drop in temperature	
759	A girl signals her friend by shining a flashlight on a mirror. Her friend can see the signal because light energy can be reflected from one object to another.	purpose		light energy can be reflected from one object to another	see the signal	
760	Having blue eyes is inherited rather than learned.	example		Having blue eyes	inherited	
761	When plants and animals die, decomposers help return nutrients to the food chain.	purpose		decomposers	return nutrients	
762	Animals get energy for growth and repair from food.	condition		get energy	growth and repair from food	
763	A person does use mechanical energy to pedal a bicycle.	cause		mechanical energy	pedal a bicycle	
764	A graduated cylinder would be best to measure the volume of a liquid.	requirement		A graduated cylinder	measure the volume of a liquid	
765	Sleet, rain, snow, and hail are forms of precipitation.	condition		Sleet, rain, snow, and hail	precipitation	
766	A metal fork is the best conductor of electricity.	effect		a metal fork	conductor of electricity	
767	Touch is used to determine an object's texture.	example		Touch	determine an object's texture	
768	A graduated cylinder would be best to measure the volume of a liquid.	purpose		A graduated cylinder	measure the volume of a liquid	
769	Water freezing is an example of a liquid changing to a solid.	requirement		Water freezing	a liquid changing to a solid	
770	Winter season is a season of the year during which a rabbits fur would be thickest.	cause		Winter season	a rabbits fur would be thickest	
771	Sight can be used to determine an objects ability to reflect light.	cause		Sight	determine an objects ability to reflect light	
772	During an experiment, a student reports that a liquid turned green when mixed with another liquid. This is an example of an observation.	purpose		This	observation	
773	Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. Evaporation caused the rainwater in the pan to disappear as it sat outside in the hot air.	example		Evaporation	disappear	
774	Meters can be used to describe an objects length.	part		Meters	describe an objects length	
775	Sight can be used to determine an objects ability to reflect light.	condition		Sight	determine an objects ability to reflect light	
776	A human offspring can inherit blue eyes.	purpose		A human offspring	blue eyes	
777	A claws for obtaining food is correctly paired with its function.	part		claws	obtaining food	
778	The main function of scales on a fish is to protect the fish.	effect		scales of a fish	protect the fish	
779	A snowy field is an environment in which a white rabbit would be best protected from predators.	enable		snowy field	be best protected from predators	
780	One way animals usually respond to a sudden drop in temperature is by shivering.	cause		shivering	respond to a sudden drop in temperature	
781	Since green plants make their own food, they are called producers.	requirement		green plants make their own food	producers	
782	Growing thicker fur in the winter helps some animals to keep warm.	cause		Growing thicker fur	keep warm	
783	Coloration often helps an animal attract a mate.	example		Coloration	attract a mate	
784	Apple trees can live for many years, but bean plants usually live for only a few months. This statement suggests that different plants have different life spans.	part		statement	different plants have different life spans	
785	Meters can be used to describe an objects length.	enable		Meters	describe an objects length	
786	A ball is tossed up in the air and it comes back down. The ball comes back down because of gravity.	effect		ball comes back down	gravity	
787	A student crumples up a sheet of paper. Shape has changed.	condition		crumples up a sheet of paper	Shape has changed	
788	An objects hardness, taste, and texture are examples of properties.	condition		hardness, taste, and texture	properties	
789	A student puts two identical plants in the same type and amount of soil. She gives them the same amount of water. She puts one of these plants near a sunny window and the other in a dark room. This experiment tests how the plants respond to light.	enable		experiment tests	how the plants respond to light	
790	A ball is tossed up in the air and it comes back down. The ball comes back down because of gravity.	example		ball comes back down	gravity	
791	Growing thicker fur in the winter helps some animals to keep warm.	example		Growing thicker fur	keep warm	
792	A decomposer is an organism that breaks down dead plants and animals.	cause		decomposer	breaks down dead plants and animals	
793	A simple machine that helps move a flag up a flagpole is a pulley.	purpose		pulley	move a flag up a flagpole	
794	Sunlight is the main source of energy for the water cycle.	part		Sunlight	the water cycle	
795	A simple machine that helps move a flag up a flagpole is a pulley.	enable		pulley	move a flag up a flagpole	
796	Living things depend on energy from the Sun.	purpose		Sun	Living things	
797	A pumpkin is a fruit.	requirement		pumpkin	a fruit	
798	Grow and reproduce are carried out by all species of living things.	requirement		Grow and reproduce	carried by all species of living things	
799	Water is usually found in nature as a liquid, solid, and gas.	enable		Water	liquid, solid, and gas	
800	Since green plants make their own food, they are called producers.	enable		green plants make their own food	producers	
801	Apple trees can live for many years, but bean plants usually live for only a few months. This statement suggests that different plants have different life spans.	example		statement	different plants have different life spans	
802	A simple machine that helps move a flag up a flagpole is a pulley.	effect		pulley	move a flag up a flagpole	
803	When an ice cube melts, its state of matter changes from a solid to a liquid.	condition		an ice cube melts	state of matter changes from a solid to a liquid	
804	All animals do need water, air, and food in order to survive.	example		water, air and food	survive	
805	Sleet, rain, snow, and hail are forms of precipitation.	enable		Sleet, rain, snow, and hail	precipitation	
806	A stove is used to boil water in a pan is an example in which a thermometer could be used to show that heat energy is being transferred.	enable		A stove is used to boil water in a pan	a thermometer could be used to show that heat energy is being transferred	
807	Water freezing is an example of a liquid changing to a solid.	part		Water freezing	a liquid changing to a solid	
808	Grow and reproduce are carried out by all species of living things.	part		Grow and reproduce	carried by all species of living things	
809	When a person speaks into a telephone, sound energy is changed mostly into electrical energy.	condition		speaks into a telephone	sound energy is changed into electricity energy	
810	During winter, the white fur of an arctic fox blends in with the snow. This adaptation is called camouflage.	example		adaptation	camouflag	
811	A student riding a bicycle observes that it moves faster on a smooth road than on a rough road. This happens because the smooth road has less friction.	enable		This	smooth road has less friction	
812	Exercising daily is one way that humans can maintain good health.	requirement		Exercising daily	humans can maintain good health	
813	A student measured the volume of water in a pan. The student boiled the water for thirty minutes and then measured the volume of the water again. The volume of water most likely decreased.	example		The student boiled the water	decreased	
814	A decomposer is an organism that breaks down dead plants and animals.	requirement		decomposer	breaks down dead plants and animals	
815	Flower of a plant produces the seeds.	enable		Flower of a plant	seeds	
816	Heat energy causes an ice cube to melt.	part		Heat energy	an ice cube to melt	
817	Mechanical energy is being used when a person pushes a wooden block across the floor.	condition		Mechanical energy	pushes a wooden block across the floor	
818	It rained on a hot summer afternoon and a puddle formed. After several hours, the puddle was gone. Precipitation followed by evaporation made the puddle form and then disappear.	enable		Precipitation followed by evaporation 	form and then disappear	
819	A bicycle is nonliving.	cause		bicycle	nonliving	
820	A decomposer is an organism that recycles nutrients.	requirement		decomposer	recycles nutrients	
821	Gravity causes rocks to roll downhill.	cause		Gravity	rocks to roll downhill	
822	A person does use mechanical energy to pedal a bicycle.	requirement		mechanical energy	pedal a bicycle	
823	Some birds fly south before winter each year. This is an example of migration.	example		Some birds fly south before winter	migration	
824	Windy, cloudy, rainy, and cold are words that help describe weather.	part		Windy, cloudy, rainy, and cold	describe weather	
825	A pumpkin is a fruit.	example		pumpkin	a fruit	
826	Coloration often helps an animal attract a mate.	effect		Coloration	attract a mate	
827	The main function of a duck's webbed feet is to help the duck swim in water.	example		a duck's webbed feet	swim in water	
828	An objects hardness, taste, and texture are examples of properties.	requirement		hardness, taste, and texture	properties	
829	A student crumples up a sheet of paper. Shape has changed.	requirement		crumples up a sheet of paper	Shape has changed	
830	A student has a ball of clay that sinks when placed in a pan of water. He should change shape to make the clay float.	condition		change shape	make the clay float	
831	Rotation of Earth causes day and night.	purpose		Rotation of Earth	day and night	
832	During an experiment, a student reports that a liquid turned green when mixed with another liquid. This is an example of an observation.	requirement		This	observation	
833	When a person speaks into a telephone, sound energy is changed mostly into electrical energy.	requirement		speaks into a telephone	sound energy is changed into electricity energy	
834	A student has a ball of clay that sinks when placed in a pan of water. He should change shape to make the clay float.	enable		change shape	make the clay float	
835	An example of a poor health habit is eating candy instead of lunch.	cause		eating candy instead of lunch	a poor health habit	
836	Exercising daily is one way that humans can maintain good health.	cause		Exercising daily	humans can maintain good health	
837	A decrease in air temperature from 60°F to 35°F would most likely cause a person to shiver.	effect		A decrease in air temperature	a person to shiver	
838	Living things depend on energy from the Sun.	effect		Sun	Living things	
839	A decrease in air temperature from 60°F to 35°F would most likely cause a person to shiver.	purpose		A decrease in air temperature	a person to shiver	
840	Rotation of Earth causes day and night.	cause		Rotation of Earth	day and night	
841	A marble is dropped in a glass of water. Gravity pulls the marble to the bottom of the glass.	purpose		Gravity	pulls the marble to the bottom	
842	Some butterflies live an average of two weeks. This period of time is called a life span.	purpose		live a average of two weeks	life span	
843	Heat energy causes an ice cube to melt.	effect		Heat energy	an ice cube to melt	
844	Sleet and hail are forms of precipitation.	purpose		Sleet and hail	precipitation	
845	Exercising every day is an example of a good health habit.	cause		Exercising every day	good health habit	
846	Sleet and hail are forms of precipitation.	enable		Sleet and hail	precipitation	
847	A claws for obtaining food is correctly paired with its function.	cause		claws	obtaining food	
848	Heat is needed to change water from a liquid to a gas.	requirement		Heat	change water from a liquid to a gas	
849	Frogs lay eggs that develop into tadpoles and then into adult frogs. This sequence of changes is an example of how living things go through a life cycle.	part		sequence of changes	how living things go through a life cycle	
850	Many birds fly south for the winter. This adaptation is called migration.	enable		Many birds fly south for the winter	migration	
851	A ball is tossed up in the air and it comes back down. The ball comes back down because of gravity.	purpose		ball comes back down	gravity	
852	Centimeters can be used to describe the length of a desk.	cause		Centimeters	describe the length of a desk	
853	Growth causes the leaves of a plant to become larger.	cause		Growth	leaves of a plant to become larger	
854	During an experiment, a student reports that a liquid turned green when mixed with another liquid. This is an example of an observation.	effect		This	observation	
855	A thick fur would best help a bear to survive a winter in New York State.	enable		thick fur	survive in winter	
856	A student measured the volume of water in a pan. The student boiled the water for thirty minutes and then measured the volume of the water again. The volume of water most likely decreased.	part		The student boiled the water	decreased	
